Date/Time,Active Energy (kcal),Apple Stand Hour (count),Step Count (count)
2026-03-01 00:00:00,390.52,16,7223
2026-03-02 00:00:00,415.52,15,5721
2026-03-03 00:00:00,612.17,16,9024
2026-03-04 00:00:00,687.02,15,12979
2026-03-05 00:00:00,570.49,15,11002
2026-03-06 00:00:00,408.85,14,4615
2026-03-07 00:00:00,333.41,13,6564
2026-03-08 00:00:00,363.73,12,7400
2026-03-09 00:00:00,582.53,17,12165
2026-03-10 00:00:00,713.73,18,14662
2026-03-11 00:00:00,748.16,16,12330
2026-03-12 00:00:00,631.82,17,9414
2026-03-13 00:00:00,559.18,15,11023
2026-03-14 00:00:00,426.34,11,10694
2026-03-15 00:00:00,512.63,15,9735
2026-03-16 00:00:00,576.8,15,8758
2026-03-17 00:00:00,487.03,13,7806
2026-03-18 00:00:00,424.78,14,8823
2026-03-19 00:00:00,554.46,14,8174
2026-03-20 00:00:00,617.05,17,10472
2026-03-21 00:00:00,847.37,15,16465
2026-03-22 00:00:00,665.81,16,14691
2026-03-23 00:00:00,700.11,15,12167
2026-03-24 00:00:00,721.06,18,14242
2026-03-25 00:00:00,793.73,18,17117
2026-03-26 00:00:00,676.63,18,11111
2026-03-27 00:00:00,369.06,13,6763
2026-03-28 00:00:00,774.58,17,17357
2026-03-29 00:00:00,709.13,17,16714
2026-03-30 00:00:00,452.23,13,8606
2026-03-31 00:00:00,627.22,20,9463
