Date/Time,Active Energy (kcal),Apple Stand Hour (count),Step Count (count)
2026-05-01 00:00:00,649.99,,
2026-05-02 00:00:00,712.17,,
2026-05-03 00:00:00,416.11,,
2026-05-04 00:00:00,555.74,,
2026-05-05 00:00:00,671.79,,
2026-05-06 00:00:00,608.75,,
2026-05-07 00:00:00,580.55,,
2026-05-08 00:00:00,340.95,,
2026-05-09 00:00:00,376.37,,
2026-05-10 00:00:00,1014,,
2026-05-11 00:00:00,715.97,,
2026-05-12 00:00:00,747.15,,
2026-05-13 00:00:00,812.27,,
2026-05-14 00:00:00,676.29,,
2026-05-15 00:00:00,658.07,,
2026-05-16 00:00:00,578.97,,
2026-05-17 00:00:00,728.83,,
2026-05-18 00:00:00,521.11,,
2026-05-19 00:00:00,577.63,,
2026-05-20 00:00:00,749.73,,
2026-05-21 00:00:00,593.37,,
2026-05-22 00:00:00,629.97,,
2026-05-23 00:00:00,371.94,,
2026-05-24 00:00:00,539.41,,
2026-05-25 00:00:00,920.72,,
2026-05-26 00:00:00,669.89,,
2026-05-27 00:00:00,582.79,,
2026-05-28 00:00:00,773.19,,
2026-05-29 00:00:00,689.67,,
2026-05-30 00:00:00,735.9,,
2026-05-31 00:00:00,670.48,,
