Date/Time,Active Energy (kcal),Apple Stand Hour (count),Step Count (count)
2026-07-01 00:00:00,767.72,18,13878
2026-07-02 00:00:00,1001,1,19330
2026-07-03 00:00:00,642.81,1,11823
2026-07-04 00:00:00,506.73,14,7998
2026-07-05 00:00:00,268.59,14,3400
2026-07-06 00:00:00,369.76,4,4292
2026-07-07 00:00:00,436.22,1,5244
2026-07-08 00:00:00,330.66,2,2714
2026-07-09 00:00:00,652.23,1,9623
2026-07-10 00:00:00,686.94,3,11237
2026-07-11 00:00:00,486.55,16,8826
2026-07-12 00:00:00,425.44,13,6018
2026-07-13 00:00:00,376.32,10,5870
2026-07-14 00:00:00,652.4,2,12700
2026-07-15 00:00:00,764.02,18,12435
2026-07-16 00:00:00,370.19,16,3965
2026-07-17 00:00:00,335.57,1,4473
2026-07-18 00:00:00,427.04,9,8530
