Date/Time,Active Energy (kcal),Apple Stand Hour (count),Step Count (count)
2026-04-01 00:00:00,594.71,13,7440
2026-04-02 00:00:00,585.1,17,11228
2026-04-03 00:00:00,541.46,14,8918
2026-04-04 00:00:00,754.8,17,14828
2026-04-05 00:00:00,662.94,15,12746
2026-04-06 00:00:00,568.12,15,12640
2026-04-07 00:00:00,545.68,17,7950
2026-04-08 00:00:00,469.16,15,6676
2026-04-09 00:00:00,416.64,16,5862
2026-04-10 00:00:00,305.35,12,5038
2026-04-11 00:00:00,372.85,12,6629
2026-04-12 00:00:00,299.61,10,5770
2026-04-13 00:00:00,419.49,16,6665
2026-04-14 00:00:00,606.98,15,10718
2026-04-15 00:00:00,480.22,17,7794
2026-04-16 00:00:00,607.7,16,9957
2026-04-17 00:00:00,414.95,14,7416
2026-04-18 00:00:00,659.77,14,10845
2026-04-19 00:00:00,708.4,16,14634
2026-04-20 00:00:00,553.98,16,8556
2026-04-21 00:00:00,665.76,17,13423
2026-04-22 00:00:00,625.53,17,11332
2026-04-23 00:00:00,598.52,16,10047
2026-04-24 00:00:00,501.14,16,9381
2026-04-25 00:00:00,587.4,15,13093
2026-04-26 00:00:00,701.51,16,14732
2026-04-27 00:00:00,405.23,16,5984
2026-04-28 00:00:00,647.49,18,12498
2026-04-29 00:00:00,690.33,18,14143
2026-04-30 00:00:00,774.84,19,14651
